City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
fare,-16.7,-151.02,77.76,81,80,20.24,PF,1595199822
wainwright,52.84,-110.86,67.46,75,97,9.4,CA,1595199626
mahebourg,-20.41,57.7,68.0,77,75,14.99,MU,1595199376
kongoussi,13.33,-1.53,87.4,51,24,6.62,BF,1595199823
rawson,-43.3,-65.1,45.36,82,100,11.56,AR,1595199380
haines junction,60.75,-137.51,66.34,44,100,10.67,CA,1595199409
saint-philippe,-21.36,55.77,64.4,72,40,4.7,RE,1595199389
klaksvik,62.23,-6.59,50.0,87,100,9.17,FO,1595199379
shevchenkove,49.7,37.17,66.2,72,2,4.47,UA,1595199823
longyearbyen,78.22,15.64,44.6,87,75,11.41,SJ,1595199382
esfahan,32.66,51.68,82.4,18,40,4.7,IR,1595199823
new norfolk,-42.78,147.06,45.0,81,78,3.0,AU,1595199374
anadyr,64.75,177.48,55.4,58,20,8.95,RU,1595199397
kapaa,22.08,-159.32,84.2,74,90,14.99,US,1595199372
port elizabeth,-33.92,25.57,53.6,100,0,3.36,ZA,1595199393
tombouctou,20.0,-3.0,96.51,23,72,12.1,ML,1595199823
cape town,-33.93,18.42,60.01,93,40,9.17,ZA,1595199262
butaritari,3.07,172.79,83.44,77,75,15.3,KI,1595199381
ilhabela,-23.78,-45.36,67.24,81,3,2.44,BR,1595199824
punta arenas,-53.15,-70.92,35.6,69,75,6.93,CL,1595199374
rikitea,-23.12,-134.97,68.68,65,49,12.3,PF,1595199356
bredasdorp,-34.53,20.04,55.4,93,4,0.69,ZA,1595199375
mataura,-46.19,168.86,39.0,83,90,3.0,NZ,1595199375
lubin,51.4,16.2,68.0,88,93,1.12,PL,1595199824
vila velha,-20.33,-40.29,69.8,94,75,5.82,BR,1595199403
cidreira,-30.18,-50.21,66.33,78,57,9.89,BR,1595199380
hilo,19.73,-155.09,84.2,62,20,11.41,US,1595199379
yibin,28.77,104.62,75.02,82,100,1.52,CN,1595199824
qaanaaq,77.48,-69.36,47.37,69,99,1.43,GL,1595199381
sao joao da barra,-21.64,-41.05,70.56,87,0,11.1,BR,1595199387
severo-kurilsk,50.68,156.12,51.96,87,100,11.56,RU,1595199375
bandarbeyla,9.49,50.81,79.79,62,71,23.29,SO,1595199411
bengkulu,-3.8,102.27,75.4,91,46,5.06,ID,1595199302
barrow,71.29,-156.79,37.4,74,40,12.75,US,1595199376
bambous virieux,-20.34,57.76,68.0,77,75,14.99,MU,1595199304
albany,42.6,-73.97,93.0,53,50,4.36,US,1595199375
aklavik,68.22,-135.01,50.0,66,75,2.24,CA,1595199378
saint-francois,46.42,3.91,63.0,77,0,3.36,FR,1595199751
ushuaia,-54.8,-68.3,28.4,86,0,8.05,AR,1595199319
marang,5.21,103.21,78.8,94,20,2.24,MY,1595199824
port alfred,-33.59,26.89,60.24,71,0,6.98,ZA,1595199244
bilibino,68.05,166.44,67.64,38,0,1.19,RU,1595199375
upernavik,72.79,-56.15,49.46,54,64,7.4,GL,1595199386
ovalle,-30.6,-71.2,59.68,74,88,2.42,CL,1595199605
ostrovnoy,68.05,39.51,61.88,72,0,14.52,RU,1595199371
hithadhoo,-0.6,73.08,83.52,77,100,16.37,MV,1595199371
codrington,-38.27,141.97,51.35,76,72,15.41,AU,1595199393
cumana,10.46,-64.18,87.8,66,43,16.11,VE,1595199825
taltal,-25.4,-70.48,56.95,77,58,2.57,CL,1595199404
hofn,64.25,-15.21,55.0,60,51,7.34,IS,1595199390
paratinga,-12.69,-43.18,73.4,53,63,3.36,BR,1595199793
provideniya,64.38,-173.3,55.4,66,75,8.95,RU,1595199393
harnai,30.1,67.94,88.47,41,0,3.11,PK,1595199599
tiksi,71.69,128.87,61.77,59,16,9.26,RU,1595199384
kaeo,-35.1,173.78,59.0,3,71,8.05,NZ,1595199394
mitsamiouli,-11.38,43.28,76.89,66,52,10.16,KM,1595199825
arraial do cabo,-22.97,-42.03,71.19,84,0,23.0,BR,1595199383
busselton,-33.65,115.33,46.99,77,43,7.2,AU,1595199128
dunmore town,25.5,-76.65,83.21,80,34,15.77,BS,1595199825
vestmanna,62.16,-7.17,50.0,87,97,9.17,FO,1595199826
moron,-34.65,-58.62,68.0,82,80,2.24,AR,1595199826
